video_file_name,frame_number,patch_name,connected_component_area,bounding_box_area,initial_plano_featues,initial_query_features,good_matches,very_good_matches,ratio
IBOT.MOV,6000,69,1285,2665,0,0,,,-1
IBOT.MOV,6000,91,763,1681,0,0,,,-1
IBOT.MOV,6000,108,10825,24153,18,7,11,9,0.363636
IBOT.MOV,6000,113,904,1881,0,0,,,-1
IBOT.MOV,6000,119,1001,2665,0,0,,,-1
IBOT.MOV,6000,141,1052,2673,0,0,,,-1
IBOT.MOV,6000,144,6725,17945,2,68,,,-1
integrity,0
IBOT.MOV,6100,16,8385,20001,328,406,121,13,0.0991736
IBOT.MOV,6100,19,716,1681,0,0,,,-1
IBOT.MOV,6100,69,2603,5073,0,0,,,-1
IBOT.MOV,6100,79,5158,14641,153,8,80,11,0.0625
IBOT.MOV,6100,83,1140,2337,0,0,,,-1
IBOT.MOV,6100,88,1378,2993,0,0,,,-1
IBOT.MOV,6100,102,1475,3705,0,0,,,-1
IBOT.MOV,6100,138,762,1617,0,0,,,-1
IBOT.MOV,6100,166,904,1881,0,0,,,-1
IBOT.MOV,6100,170,763,1625,0,0,,,-1
IBOT.MOV,6100,191,1807,4617,0,0,,,-1
integrity,0
IBOT.MOV,6200,10,1290,3225,0,0,,,-1
IBOT.MOV,6200,11,859,2409,0,0,,,-1
IBOT.MOV,6200,17,8485,19425,303,353,126,8,0.0634921
IBOT.MOV,6200,48,858,2337,0,0,,,-1
IBOT.MOV,6200,61,1141,2401,0,0,,,-1
IBOT.MOV,6200,80,1094,2337,0,0,,,-1
IBOT.MOV,6200,81,4213,9801,48,1,1,,0
IBOT.MOV,6200,105,1284,2793,0,0,,,-1
IBOT.MOV,6200,118,1190,3185,0,0,,,-1
IBOT.MOV,6200,157,906,2145,0,0,,,-1
IBOT.MOV,6200,163,2043,5073,0,0,,,-1
IBOT.MOV,6200,173,1144,2673,0,0,,,-1
IBOT.MOV,6200,186,1047,1881,0,0,,,-1
integrity,0
IBOT.MOV,6300,19,7213,19481,338,440,136,6,0.0441176
IBOT.MOV,6300,20,8721,20769,519,381,213,10,0.0375587
IBOT.MOV,6300,28,762,1617,0,0,,,-1
IBOT.MOV,6300,49,718,1353,0,0,,,-1
IBOT.MOV,6300,52,1145,3185,0,0,,,-1
IBOT.MOV,6300,64,1048,2665,0,0,,,-1
